REGION,COUNTRY,ORGANISATION NAMES,TERMINATION TYPE,SERVICE COVERAGE,AVAILABILITY,BUSINESS MODEL,PAYMENT SPEED,MAX  TRANSACTION AMOUNT,BENEFICIARY LOOKUP,TRANSFERTO COMMISSION (< $100),TRANSFERTO COMMISSION (>$100),MINIMUM COMMISSION
AFRICA,Mozambique,Mcel,Mobile Money Account,mKesh,In the roadmap,,,,,,,
AFRICA,Mozambique,All Banks,Bank Account Deposits,Major Branches,In the roadmap,,,,,,,
AFRICA,Niger,Airtel,Mobile Money Account,Airtel Money,In the roadmap,,,,,,,
AFRICA,Niger,Wari,Cash Pick Up,Major Branches,Live,Commission on Principal,Real-time,,None,1.50%,1.50%,US$ 0.40
AFRICA,Nigeria,Paga,Mobile Money Account,Paga,Live,Fixed fee,Real-time,"NGN 100,000","Discovery, Validation",US$ 1.00,US$ 1.50,
AFRICA,Nigeria,Major Banks,Bank Account Deposits,Major Branches,Live,Fixed fee,Real-time,"NGN 1,000,000",,US$ 2.00,US$ 2.00,US$ 2.00
AFRICA,Rwanda,Tigo,Mobile Money Account,Tigo Cash,Under Integration,Revenue share on Total Retail Commission (Fx + Fee),,,,30.00%,30.00%,
AFRICA,Rwanda,MTN,Mobile Money Account,MTN Mobile Money,Under Integration,Under Negotiation,,,,,,
AFRICA,Senegal,Wari,Cash Pick Up,Major Branches,Live,Commission on Principal,Real-time,No Limit,None,1.50%,1.50%,US$ 0.40
AFRICA,Senegal,Tigo,Mobile Money Account,Tigo Money,In the roadmap,,,,,,,
AFRICA,Seychelles,Airtel,Mobile Money Account,Airtel Money,In the roadmap,,,,,,,
AFRICA,Tanzania,Airtel,Mobile Money Account,Airtel Money,Under Integration,Commission on Principal,Real-time,"TZS 3,000,000",,1.50%,1.50%,US$ 1.50
AFRICA,Tanzania,Tigo,Mobile Money Account,Tigo Money,Under Integration,Commission on Principal,Real-time,"TZS 3,000,000","Discovery, Validation",2.50%,2.50%,
AFRICA,Tanzania,Vodacom,Mobile Money Account,M-PESA,Under Integration,Revenue share on Total Retail Commission (Fx + Fee),Real-time,"TZS 3,000,000","Discovery, Validation",37.00%,37.00%,
AFRICA,Tanzania,Halotel,Mobile Money Account,Halopesa,In the roadmap,,,,,,,
AFRICA,Tanzania,All Banks,Bank Account Deposits,"Major Branches, including KCB",In the roadmap,,,,,,,
AFRICA,Togo,Wari,Cash Pick Up,Major Branches,Live,Commission on Principal,Real-time,No Limit,None,1.50%,1.50%,US$ 0.40
AFRICA,Uganda,Major Banks,Bank Account Deposits,"Major Branches, including KCB",In the roadmap,,,,,,,
AFRICA,Uganda,Airtel,Mobile Money Account,Airtel Money,Live,Commission on Principal,Real-time,"4000000 UGX, 1111 USD","Discovery, Validation",2.50%,2.50%,US$ 1.50
AFRICA,Uganda,MTN,Mobile Money Account,MTN Mobile Money,Live,Commission on Principal,Real-time,"4000000 UGX, 1111 USD","Discovery, Validation",2.50%,2.50%,
AFRICA,Zambia,Airtel,Mobile Money Account,Airtel Money,In the roadmap,,,,,,,
AFRICA,Zambia,MTN,Mobile Money Account,MTN Mobile Money,In the roadmap,,,,,,,
AFRICA,Zimbabwe,Major Banks,Bank Account Deposits,Major Branches,In the roadmap,,,,,,,
AFRICA,Zimbabwe,Econet,Mobile Money Account,EcoCash Econet,Live,Commission on Principal,Real-time,2000USD,"Discovery, Validation",3%,3%,US$ 1.50
AFRICA,Zimbabwe,Textacash,Mobile Money Account,Textacash,In the roadmap,,,,,,,
